EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
1207138,CLAY CO.,HERMITAGE SPGS,09/24/2024,1355,Hail,0.75, ,0,0,0,0,TN,CST-6, ,195293,C,27,OHX,0,0,Public, , , ,0.55,W,0.55,W,HERMITAGE SPGS,09/24/2024,1355,36.58,-85.78,36.58,-85.78,"Penny size hail fell northeast of Red Boiling Springs.","Thunderstorms developed ahead of a cold front that moved eastward through Middle Tennessee on September 24, 2024. With plenty of instability and wind shear, these thunderstorms strengthened and became severe through the afternoon and evening. Damaging winds were the primary threat with numerous reports of downed trees and powerlines received. The most significant damage was reported in Ethridge where severe winds caused a tent to collapse, injuring three people. Some hail reports were received as well, but these were mostly less than one inch in diameter.",11
1207119,DAVIDSON CO.,PROVIDENCE,09/24/2024,1356,Thunderstorm Wind,52.00, ,0,0,1000,0,TN,CST-6,EG,195293,C,37,OHX,0,0,Emergency Manager, , , ,1.62,NW,1.62,NW,PROVIDENCE,09/24/2024,1356,36.0976,-86.7393,36.0976,-86.7393,"Severe thunderstorm winds downed a tree on Veritas Street in Berry Hill. Damages are a rough estimate.","Thunderstorms developed ahead of a cold front that moved eastward through Middle Tennessee on September 24, 2024. With plenty of instability and wind shear, these thunderstorms strengthened and became severe through the afternoon and evening. Damaging winds were the primary threat with numerous reports of downed trees and powerlines received. The most significant damage was reported in Ethridge where severe winds caused a tent to collapse, injuring three people. Some hail reports were received as well, but these were mostly less than one inch in diameter.",12
1207121,DAVIDSON CO.,PARAGON MILL,09/24/2024,1357,Thunderstorm Wind,52.00, ,0,0,5000,0,TN,CST-6,EG,195293,C,37,OHX,0,0,Social Media, , , ,0.42,N,0.42,N,PARAGON MILL,09/24/2024,1357,36.0861,-86.6999,36.0861,-86.6999,"Severe thunderstorm winds downed a couple trees on Harding Place near I-24 in Antioch. Damages are a rough estimate.","Thunderstorms developed ahead of a cold front that moved eastward through Middle Tennessee on September 24, 2024. With plenty of instability and wind shear, these thunderstorms strengthened and became severe through the afternoon and evening. Damaging winds were the primary threat with numerous reports of downed trees and powerlines received. The most significant damage was reported in Ethridge where severe winds caused a tent to collapse, injuring three people. Some hail reports were received as well, but these were mostly less than one inch in diameter.",13
1207116,MACON CO.,LAFAYETTE,09/24/2024,1400,Thunderstorm Wind,52.00, ,0,0,10000,0,TN,CST-6,EG,195293,C,111,OHX,0,0,State Official, , , ,2,NNW,2,NNW,LAFAYETTE,09/24/2024,1400,36.5467,-86.0438,36.5467,-86.0438,"Severe thunderstorm winds downed trees in the Lafayette area. Damages are a rough estimate.","Thunderstorms developed ahead of a cold front that moved eastward through Middle Tennessee on September 24, 2024. With plenty of instability and wind shear, these thunderstorms strengthened and became severe through the afternoon and evening. Damaging winds were the primary threat with numerous reports of downed trees and powerlines received. The most significant damage was reported in Ethridge where severe winds caused a tent to collapse, injuring three people. Some hail reports were received as well, but these were mostly less than one inch in diameter.",14
1207122,DAVIDSON CO.,(BNA)NASHVILLE METRO,09/24/2024,1403,Thunderstorm Wind,60.00, ,0,0,0,0,TN,CST-6,MG,195293,C,37,OHX,0,0,ASOS, , , ,0,SE,0,SE,(BNA)NASHVILLE METRO,09/24/2024,1403,36.13,-86.68,36.13,-86.68,"The Nashville ASOS measured a 69 mph wind gust from a severe thunderstorm.","Thunderstorms developed ahead of a cold front that moved eastward through Middle Tennessee on September 24, 2024. With plenty of instability and wind shear, these thunderstorms strengthened and became severe through the afternoon and evening. Damaging winds were the primary threat with numerous reports of downed trees and powerlines received. The most significant damage was reported in Ethridge where severe winds caused a tent to collapse, injuring three people. Some hail reports were received as well, but these were mostly less than one inch in diameter.",15
1207140,DAVIDSON CO.,ANTIOCH,09/24/2024,1406,Hail,0.75, ,0,0,0,0,TN,CST-6, ,195293,C,37,OHX,0,0,Public, , , ,3,NW,3,NW,ANTIOCH,09/24/2024,1406,36.1007,-86.708,36.1007,-86.708,"Penny size hail fell in Antioch.","Thunderstorms developed ahead of a cold front that moved eastward through Middle Tennessee on September 24, 2024. With plenty of instability and wind shear, these thunderstorms strengthened and became severe through the afternoon and evening. Damaging winds were the primary threat with numerous reports of downed trees and powerlines received. The most significant damage was reported in Ethridge where severe winds caused a tent to collapse, injuring three people. Some hail reports were received as well, but these were mostly less than one inch in diameter.",16
1207135,LAWRENCE CO.,GUM SPGS,09/24/2024,1410,Thunderstorm Wind,43.00, ,0,0,1000,0,TN,CST-6,EG,195293,C,99,OHX,0,0,Emergency Manager, , , ,1.93,NNW,1.93,NNW,GUM SPGS,09/24/2024,1410,35.2266,-87.3108,35.2266,-87.3108,"A tree was blown down along Fall River Road in Lawrenceburg. Damages are a rough estimate.","Thunderstorms developed ahead of a cold front that moved eastward through Middle Tennessee on September 24, 2024. With plenty of instability and wind shear, these thunderstorms strengthened and became severe through the afternoon and evening. Damaging winds were the primary threat with numerous reports of downed trees and powerlines received. The most significant damage was reported in Ethridge where severe winds caused a tent to collapse, injuring three people. Some hail reports were received as well, but these were mostly less than one inch in diameter.",17
1207136,MAURY CO.,COLUMBIA,09/24/2024,1410,Thunderstorm Wind,43.00, ,0,0,5000,0,TN,CST-6,EG,195293,C,119,OHX,0,0,Social Media, , , ,5,SSW,5,SSW,COLUMBIA,09/24/2024,1410,35.5531,-87.0841,35.5531,-87.0841,"Strong winds from a thunderstorm caused a power pole to lean near Columbia. Damages are a rough estimate.","Thunderstorms developed ahead of a cold front that moved eastward through Middle Tennessee on September 24, 2024. With plenty of instability and wind shear, these thunderstorms strengthened and became severe through the afternoon and evening. Damaging winds were the primary threat with numerous reports of downed trees and powerlines received. The most significant damage was reported in Ethridge where severe winds caused a tent to collapse, injuring three people. Some hail reports were received as well, but these were mostly less than one inch in diameter.",18
1207124,WILSON CO.,SUGGS CREEK,09/24/2024,1413,Thunderstorm Wind,52.00, ,0,0,1000,0,TN,CST-6,EG,195293,C,189,OHX,0,0,Social Media, , , ,1.16,NE,1.16,NE,SUGGS CREEK,09/24/2024,1413,36.13,-86.4833,36.13,-86.4833,"Severe thunderstorm winds downed a tree over Logue Road in Rural Hill. Damages are a rough estimate.","Thunderstorms developed ahead of a cold front that moved eastward through Middle Tennessee on September 24, 2024. With plenty of instability and wind shear, these thunderstorms strengthened and became severe through the afternoon and evening. Damaging winds were the primary threat with numerous reports of downed trees and powerlines received. The most significant damage was reported in Ethridge where severe winds caused a tent to collapse, injuring three people. Some hail reports were received as well, but these were mostly less than one inch in diameter.",19
1207128,MACON CO.,SMITHS CHAPEL,09/24/2024,1415,Thunderstorm Wind,52.00, ,0,0,5000,0,TN,CST-6,EG,195293,C,111,OHX,0,0,State Official, , , ,0.51,SW,0.51,SW,SMITHS CHAPEL,09/24/2024,1415,36.5442,-85.8355,36.5442,-85.8355,"Severe thunderstorm winds downed trees in the Red Boiling Springs area. Damages are a rough estimate.","Thunderstorms developed ahead of a cold front that moved eastward through Middle Tennessee on September 24, 2024. With plenty of instability and wind shear, these thunderstorms strengthened and became severe through the afternoon and evening. Damaging winds were the primary threat with numerous reports of downed trees and powerlines received. The most significant damage was reported in Ethridge where severe winds caused a tent to collapse, injuring three people. Some hail reports were received as well, but these were mostly less than one inch in diameter.",20
